abstract,author,citation_key,doi,entry_type,issn,journal,keywords,note,number,pages,title,url,volume,year
"Accurate diagnosis of rotator cuff tears from magnetic resonance imaging (MRI) is essential for effective clinical management and treatment planning. In this study, we propose a novel convolutional neural network (CNN) architecture specifically designed for classifying rotator cuff tears, integrated with gradient-weighted class activation mapping (Grad-CAM) to provide interpretable insights into the model's decision-making process. We utilized MRI data from 150 subjects, equally divided between normal and pathological cases, and applied data augmentation techniques, including rotation, scaling, and reflection, to enhance model generalization. The proposed CNN demonstrated superior performance, achieving an average accuracy of 94.5 %, sensitivity of 94.6 %, precision of 94.1 %, and specificity of 93.4 %, outperforming established lightweight models such as MobileNetV2 and SqueezeNet. Grad-CAM visualizations confirmed that the model accurately focused on anatomically relevant regions associated with tendon ruptures, thereby enhancing trust in its predictions. These results underscore the potential of our interpretable deep learning framework to deliver reliable, transparent, and clinically actionable diagnostic support for shoulder injuries, paving the way for improved decision-making in orthopedic care. This approach highlights the synergy of advanced CNN design and explainable AI for robust medical imaging applications.",Mohammad Amin Esfandiari and Iman Ahanian and Ali Broumandnia and Nader {Jafarnia Dabanloo},ESFANDIARI2026101733,https://doi.org/10.1016/j.imu.2026.101733,article,2352-9148,Informatics in Medicine Unlocked,"Rotator cuff tear, Diagnosis, Magnetic resonance imaging (MRI), Convolutional neural network (CNN), Gradient-weighted class activation mapping (Grad-CAM)",,,101733,Interpretable deep learning for rotator cuff tear diagnosis: A novel convolutional neural network with Grad-CAM visualization on MRI,https://www.sciencedirect.com/science/article/pii/S2352914826000031,61,2026
"Studies regarding image classification based on plant and crop disease images that were acquired using a visible light camera have been conducted in the past, whereas those based on thermal images are limited. This is because the thermal images are blurry due to the nature of the thermal camera, which makes it extremely difficult to classify objects. Therefore, this study proposes a new plant and crop disease classification method based on thermal images. The proposed method used a convolutional neural network with explainable artificial intelligence (XAI) to improve plant and crop disease classification performance. A new thermal plant image dataset was built for conducting the experiments, which contained 4,720 various images of flowers and leaves. In addition, an open database of crop diseases was also used, such as the Paddy crop dataset. The proposed plant and crop disease classification method demonstrated a 98.55% accuracy for the thermal plant image dataset and a 90.04% accuracy for the Paddy crop dataset, both of which outperformed other existing methods.",Ganbayar Batchuluun and Se Hyun Nam and Kang Ryoung Park,BATCHULUUN202210474,https://doi.org/10.1016/j.jksuci.2022.11.003,article,1319-1578,Journal of King Saud University - Computer and Information Sciences,"Crop disease image, Plant image classification, Thermal image, Convolutional neural network, Explainable artificial intelligence",,"10, Part B",10474-10486,Deep learning-based plant classification and crop disease classification by thermal camera,https://www.sciencedirect.com/science/article/pii/S1319157822004013,34,2022
"There is a growing need to analyze welfare at an intra‐urban level because cities often evince stark divisions. It is therefore important to identify inequalities within them. However, data are hardly available – or very expensive. The purpose of this article is to test whether nonlinear machine learning algorithms provide more accurate predictions of intra‐city well‐being than linear models. In addition, we aim to check if freely available and easily accessible data from Open Street Map offer an alternative to high‐resolution daytime satellite images from Google Maps in accurately predicting well‐being on a local level. Inspired by the Local Human Development Index, we construct a well‐being index based on three dimensions: health, education, and welfare. Potential predictors of well‐being include indicators related to the urbanization rate, access to natural amenities, the transportation system, and access to public transport. Four nonlinear machine learning algorithms (support vector regression with polynomial and radial kernel, random forest, and xgboost) are compared with the linear LASSO approach for the 18 districts of Warsaw, Poland. In addition, we apply innovative tools of explainable artificial intelligence (XAI) to identify the most important predictors of well‐being (measuring model‐agnostic feature importance) and to disclose the shape of relationships between well‐being and its most important predictors. We conclude that the application of nonlinear machine learning algorithms to modeling well‐being not only allows us to reach higher predictive accuracy, but also to better identify and explain the impact of its predictors. Resumen Cada vez es más necesario analizar el bienestar a nivel intraurbano, ya que las ciudades muestran a menudo divisiones muy marcadas. Por lo tanto, es importante identificar las desigualdades en su seno. Sin embargo, apenas hay datos disponibles, o son muy caros. El objetivo de este artículo es comprobar si los algoritmos de aprendizaje automático no lineal proporcionan predicciones más precisas del bienestar intraurbano que los modelos lineales. Además, se quiso comprobar si los datos gratuitos de libre acceso de Open Street Map ofrecen una alternativa a las imágenes de satélite diurnas de alta resolución de Google Maps a la hora de predecir con precisión el bienestar a nivel local. Tomando el Índice de Desarrollo Humano Local como inspiración, se construyó un índice de bienestar basado en tres dimensiones: salud, educación y bienestar. Entre los posibles predictores del bienestar se encuentran los indicadores relacionados con la tasa de urbanización, el acceso a los servicios de recreo naturales, el sistema de transporte y el acceso al transporte público. Se compararon cuatro algoritmos de aprendizaje automático no lineales (regresión de vectores de apoyo con núcleo polinómico y radial, random forest y xgboost) con el enfoque lineal LASSO para los 18 distritos de Varsovia (Polonia). Además, se aplicaron herramientas innovadoras de inteligencia artificial explicable (conocidas como XAI) para identificar los predictores más importantes del bienestar (midiendo la importancia de las características de forma agnóstica respecto al modelo) y para revelar la forma de las relaciones entre el bienestar y sus predictores más importantes. Se concluyó que la aplicación de algoritmos de aprendizaje automático no lineal a los modelos del bienestar no sólo permite alcanzar una mayor precisión predictiva, sino también identificar y explicar mejor el impacto de sus predictores. 抄録 都市は完全な分断を示すことが多いため、都市内レベルで福祉(welfare)を分析する必要性が高まっている。したがって、都市内における不平等を特定することが重要である。しかし、データはほとんど得られていないか、非常に高価である。本稿では、非線形の機械学習アルゴリズムが線形モデルよりも都市内のwell‐beingを正確に予測するかどうかを検定する。さらに、自由に利用可能で容易にアクセスできるOpen Street Mapのデータが、地域レベルでの健康状態を正確に予測する上で、グーグル・マップの高解像度の衛星画像の代替となるものかどうかを検討する。そこで、Local Human Development Indexをヒントに、健康、教育、福祉の3つの項目によるwell‐being指数を構築した。Well‐beingの予測因子の候補として、都市化率、自然アメニティへのアクセス、交通輸送システム、公共交通機関へのアクセスに関する指標などがある。ポーランドのワルシャワの18地区において、4つの非線形の機械学習アルゴリズム(多項式および動径基底関数カーネルによるサポートベクター回帰、ランダムフォレスト、およびXGBoost)を線形Lasso回帰と比較した。また、説明可能な人工知能 (explainable artificial intelligence:XAI)の革新的ツールを適用して、well‐beingの最も重要な予測因子(モデル非依存性の特徴量の測定)を特定し、well‐beingとその最も重要な予測因子との関連の形を明らかにする。結論として、well‐beingのモデル化に、非線形の機械学習アルゴリズムを使用することにより、より高い予測精度が得られるだけでなく、その予測因子の影響をより正確に特定し、説明することが可能になる。",Piotr Wójcik and Krystian Andruszek,WOJCIK2022891,https://doi.org/10.1111/rsp3.12478,article,1757-7802,Regional Science Policy & Practice,"intra‐city, nonlinear machine learning, well‐being, XAI",,4,891-914,Predicting intra‐urban well‐being from space with nonlinear machine learning,https://www.sciencedirect.com/science/article/pii/S1757780223001476,14,2022
"This paper presents a deep learning architecture Res-Inception model, that combines InceptionV3 and ResNet50V2 to classify different orange diseases with high accuracy. The images selected for the present study were 1614 in number and composed of four classes, namely, black spot disease, citrus canker, citrus greening, and healthy oranges, and chosen to enable precise disease identification for agriculture purposes for orange farming. To improve the detection accuracy, more sophisticated processing of input data was performed, such as resizing, flipping, rotation, shifting, zooming, and standardization by using the Z-score method combined with Median Absolute Deviation. The proposed Res-Inception model was found to have an accuracy of 98.93%, which is better than that of other CNNs, CNN-SVM, and YOLOv7. One of the significant differences in the proposal of this work is based on the explainability of the model. It has provided the integration of explainable AI such as Grad-CAM, Score-CAM, and LIME which enables The comprehension of how the model makes decisions in real-world applications in agriculture. This capability not only enhances transparency but also empowers users to validate predictions in real-time disease management scenarios. Thus, the Res-Inception approach is an innovative and effective method for early detection of diseases of orange plants in precision agriculture and further enhances the use of artificial intelligence to help farmers worldwide improve crop yields and increase food security.",Kazi Tanvir and Sharia Arfin Tanim and Md. Sayem kabir and K.M. Tahsin Kabir and Mian Mohammad Rassel and Md. Faruk {Abdullah al Sohan},TANVIR20252597,https://doi.org/10.1016/j.procs.2025.04.521,article,1877-0509,Procedia Computer Science,"Deep learning, Disease classification, Interpretability, Agricultural technology, ResNet50V2, InceptionV3",International Conference on Machine Learning and Data Engineering,,2597-2606,Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,https://www.sciencedirect.com/science/article/pii/S1877050925016254,258,2025
"Deep Learning (DL) through Convolutional Neural Networks (CNNs) has emerged as a critical player in classifying plant diseases from images. This prominence has intensified the demand for a substantial volume of annotated training data. However, acquiring such data is costly and intricate, fraught with subtle challenges. In the domain of plants, where data collection can be even more complex, this study scrutinises how one dataset was gathered. Specifically, it delves into the nuances of collecting images of grapevine leaves in an open field for a binary classification task, discerning the presence or absence of Esca disease. Adherence to rigorous dataset quality standards during image collection is paramount in precision agriculture. Errors made in this phase can have devastating repercussions on all subsequent work. For instance, collections of photos may exhibit a consistent disparity in background characteristics between images belonging to different classes. This persistent difference can lead a deep-learning algorithm to learn undesired correlations, even though the algorithm's performances are excellent because the train and test sets possess the same kind of disparity.",A. Carraro and G. Saurio and F. Marinello,CARRARO2025100721,https://doi.org/10.1016/j.atech.2024.100721,article,2772-3755,Smart Agricultural Technology,"Esca disease, CNN, Image augmentation, Deep learning, Explainable AI",,,100721,Towards rigorous dataset quality standards for deep learning tasks in precision agriculture: A case study exploration,https://www.sciencedirect.com/science/article/pii/S2772375524003253,10,2025
"The detection and classification of tomato defects during cultivation and quality control are still primarily conducted through manual visual inspection. This process is labor-intensive, time-consuming, and susceptible to human error. Fine surface defects, such as hairline cracks, are often missed, leading to inconsistent quality standards and reduced market value. To address these challenges, we propose HySANet (Hyperspectral Attention Network), an automated defect classification framework that integrates hyperspectral imaging (HSI) with deep learning. Hyperspectral images of cherry tomatoes were preprocessed using a support vector machine (SVM) to remove background and specular reflections. Principal component analysis (PCA) was then applied for spectral dimensionality reduction. The processed image cubes were fed into a hybrid 2D–3D convolutional neural network (CNN) enhanced with a Convolutional Block Attention Module (CBAM). This architecture enables efficient extraction of spectral–spatial features for multi-class classification. HySANet categorizes tomatoes into three classes: normal, cracked, and visually unappealing. Experimental evaluation on 810 tomato samples demonstrated that HySANet achieved a classification accuracy of 97.69%, outperforming conventional machine learning and state-of-the-art deep learning methods. These results confirm HySANet’s robustness and practical value as a non-destructive, reliable, and scalable solution for smart agriculture and automated quality inspection.",Shih-Yu Chen and Yi-Cheng Chen and Che-Lun Chuang and Hsiu-Chien Ku and Jiunn-Feng Su and Tsu-Te Hao,CHEN2026101631,https://doi.org/10.1016/j.afres.2025.101631,article,2772-5022,Applied Food Research,"Tomato quality inspection, Hyperspectral imaging, Deep learning, Convolutional neural network (CNN, Attention mechanism, Surface defect detection, Smart agriculture",,1,101631,HySANet: A hyperspectral attention network for automated tomato defect classification,https://www.sciencedirect.com/science/article/pii/S2772502225009357,6,2026
"Rice is the world's most consumed staple food crop and there is a need to increase its yield in terms of food security. Understanding rice yields is important for farmers and national decision-making, and is critical for increasing yields. Remote sensing and machine learning have improved the accuracy and efficiency of yield monitoring. In particular, the combination of unmanned aerial vehicles (UAV) and convolutional neural networks (CNN), which is a type of deep learning, has been studied in recent years owing to its flexibility in data acquisition and high accuracy. Rice yield predictions using UAV and CNN have been reported to build more robust models after the mid-ripening stage. However, optimal input image conditions, such as the growth stage of image acquisition, spectral bands, and image cut-out areas, have not been studied, and there is room for improvement in this respect. In addition, recent efforts to find clues to improve the reliability and accuracy of advanced machine learning models have focused on explainable artificial intelligence (XAI), which attempts to reveal the basis of model inferences. However, there are almost no examples of using XAI for regression tasks with CNN in the research field of agricultural sciences. Therefore, in this study, the optimal input image conditions were investigated for the prediction of rice yield using a CNN based on UAV aerial images collected after the mid-ripening stage. An attempt was made to provide a rationale for the results by visualizing the region of interest in the CNN model. First, using red edge spectral bands at the maturity stage was more effective than at the mid-ripening stage. In addition, higher accuracy was achieved by allowing feature extraction from a slightly wider area than the actual harvested area, especially at the maturity stage. Furthermore, visualization of the region of interest showed that yield prediction was more focused on panicles at the maturity stage. This provided a relevant rationale for optimal input image conditions. In summary, this study identified the optimal input image conditions that enabled yield prediction with higher accuracy. Additionally, using XAI, which visualizes the region of interest, increases the trustworthiness of the model outputs. The results of this study will improve the accuracy and reliability of yield prediction models.",Tomoaki Yamaguchi and Taiga Takamura and Takashi S.T. Tanaka and Taiichiro Ookawa and Keisuke Katsura,YAMAGUCHI2025127512,https://doi.org/10.1016/j.eja.2025.127512,article,1161-0301,European Journal of Agronomy,"Rice, Growth estimation, Image analysis, UAV, Convolutional neural network, Explainable AI",,,127512,A study on optimal input images for rice yield prediction models using CNN with UAV imagery and its reasoning using explainable AI,https://www.sciencedirect.com/science/article/pii/S1161030125000085,164,2025
"To reduce damage caused by insect pests, farmers use insecticides to protect produce from crop pests. This practice leads to high synthetic chemical usage because a large portion of the applied insecticide does not reach its intended target; instead, it may affect non-target organisms and pollute the environment. One approach to mitigating this is through the selective application of insecticides to only those crop plants (or patches of plants) where the insect pests are located, avoiding non-targets and beneficials. The first step to achieve this is the identification of insects on plants and discrimination between pests and beneficial non-targets. However, detecting small-sized individual insects is challenging using image-based machine learning techniques, especially in natural field settings. This paper proposes a method based on explainable artificial intelligence feature selection and machine learning to detect pests and beneficial insects in field crops. An insect-plant dataset reflecting real field conditions was created. It comprises two pest insects—the Colorado potato beetle (CPB, Leptinotarsa decemlineata) and green peach aphid (Myzus persicae)—and the beneficial seven-spot ladybird (Coccinella septempunctata). The specialist herbivore CPB was imaged only on potato plants (Solanum tuberosum) while green peach aphids and seven-spot ladybirds were imaged on three crops: potato, faba bean (Vicia faba), and sugar beet (Beta vulgaris subsp. vulgaris). This increased dataset diversity, broadening the potential application of the developed method for discriminating between pests and beneficial insects in several crops. The insects were imaged in both laboratory and outdoor settings. Using the GrabCut algorithm, regions of interest in the image were identified before shape, texture, and colour features were extracted from the segmented regions. The concept of explainable artificial intelligence was adopted by incorporating permutation feature importance ranking and Shapley Additive explanations values to identify the feature set that optimized a model's performance while reducing computational complexity. The proposed explainable artificial intelligence feature selection method was compared to conventional feature selection techniques, including mutual information, chi-square coefficient, maximal information coefficient, Fisher separation criterion and variance thresholding. Results showed improved accuracy (92.62 % Random forest, 90.16 % Support vector machine, 83.61 % K-nearest neighbours, and 81.97 % Naïve Bayes) and a reduction in the number of model parameters and memory usage (7.22 × 107 Random forest, 6.23 × 103 Support vector machine, 3.64 × 104 K-nearest neighbours and 1.88 × 102 Naïve Bayes) compared to using all features. Prediction and training times were also reduced by approximately half compared to conventional feature selection techniques. This demonstrates a simple machine learning algorithm combined with an ideal feature selection methodology can achieve robust performance comparable to other methods. With feature selection, model performance can be maximized and hardware requirements reduced, which are essential for real-world applications with resource constraints. This research offers a reliable approach towards automatic detection and discrimination of pest and beneficial insects which will facilitate the development of alternative pest control approaches and other targeted pest removal methods that are less harmful to the environment than the broad-scale application of synthetic insecticides.",Rabiu Aminu and Samantha M. Cook and David Ljungberg and Oliver Hensel and Abozar Nasirahmadi,AMINU2025377,https://doi.org/10.1016/j.aiia.2025.03.008,article,2589-7217,Artificial Intelligence in Agriculture,"Feature screening, Explainable artificial intelligence, Targeted pest control, Sustainable agriculture",,3,377-394,Improving the performance of machine learning algorithms for detection of individual pests and beneficial insects using feature selection techniques,https://www.sciencedirect.com/science/article/pii/S258972172500039X,15,2025
"Introduction Skin lesion segmentation and classification is an active research area in medical imaging for the large number of reported deaths in the recent years. Early diagnosis of skin cancer is essential to decrease the death rate and increase life expectancy. Objectives Several artificial intelligence (AI) based techniques have been introduced in the literature for the diagnosing skin cancer; however, due to challenge of imbalanced datasets, irregular lesion shape, presence of lesions on boundary regions, and selection of inappropriate model selection, the performance of AI model is highly impacted. Therefore, in this work our main objective is to propose a fully automated deep framework for skin lesion segmentation and classification with more efficient and effective way. Method This work proposes a novel framework for segmenting and classifying skin lesions using improved ResNet20-DeepLabV3+ and MAKNet100 deep models. In the segmentation task, a ResNet20 architecture is designed as a backbone of DeepLabV3+. In the designed ResNet20 architecture, a few grouped convolutional layers are added with smaller filter sizes to extract more insight information. A new MAKNet100 model is proposed in the classification task based on the network-level fusion of two custom models. The proposed network has few parameters and can extract more information about the lesion images. The proposed model is trained and further analyzed using the GradCAM explainable artificial technique (XAI) as a black box interpretation. Features are extracted from the self-attention layer and passed to classifiers for the final classification. Results The experimental process of the proposed framework is performed on HAM10000, ISIC-2018, ISIC-2019, and ISBI-2020 datasets with an accuracy of 90.5 %, 88.9 %, 84.5 %, and 96.35 % respectively and the highest obtained dice score on ISIC-2018 and HAM10000 is 94.63 and 96.69 % respectively. Conclusion The proposed framework obtained improved accuracy and precision rates for skin lesion segmentation and classification on these datasets. Moreover, the ablation study and comparison with existing techniques show the proposed framework’s dominance.",Mehak Arshad and Muhammad Attique Khan and Juan Manuel Górriz and Jamel Baili and Dina Abdulaziz AlHammadi and Chomyong Kim and Yunyoung Nam,ARSHAD2026575,https://doi.org/10.1016/j.jare.2025.08.039,article,2090-1232,Journal of Advanced Research,"Artificial intelligence, Dermoscopy, Explainable AI, Fused network, Lesion classification, Lesion segmentation, Skin cancer",,,575-600,Skin cancer segmentation and recognition from dermoscopy images: a novel framework based on improved DeepLabV3+ and network-level fused deep architectures,https://www.sciencedirect.com/science/article/pii/S209012322500654X,83,2026
"The quantity and quality of a dataset play a crucial role in the performance of prediction models. Increasing the amount of data increases the computational requirements and can introduce negligible variations, outliers, and noise. These significantly impact the model performance. Thus, instance selection techniques are crucial for building prediction models with informative data, reducing the dataset size, improving performance, and minimizing computational costs. This study proposed a novel methodology for identifying the most informative two-dimensional slices derived from magnetic resonance imaging (MRI) to study Alzheimer's disease. The efficacy of our methodology was attributable to a hippocampus-centered analysis using data from multiple atlases. The methodology was evaluated by constructing convolutional neural networks to identify Alzheimer's disease, using a consolidated dataset constructed from three standard datasets: Alzheimer's Disease Neuroimaging Initiative, Australian Imaging, Biomarker & Lifestyle Flagship Study of Ageing, and Open Access Series of Imaging Studies. The proposed methodology demonstrated a commendable subject-level classification accuracy of approximately (95.00%) when distinguishing between normal cognition and Alzheimer's.",Juan A. Castro-Silva and María N. Moreno-García and Lorena Guachi-Guachi and Diego H. Peluffo-Ordóñez,CASTROSILVA2024e37552,https://doi.org/10.1016/j.heliyon.2024.e37552,article,2405-8440,Heliyon,"Alzheimer's disease, Deep learning, Hippocampus, Instance selection",,19,e37552,Novel hippocampus-centered methodology for informative instance selection in Alzheimer's disease data,https://www.sciencedirect.com/science/article/pii/S2405844024135839,10,2024
